2026-03-08 19:59:38 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 19:59:41 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 19:59:41 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:00:39 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:00:39 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:00:44 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:00:44 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:01:39 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:01:39 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:01:43 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:01:43 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:02:23 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:02:23 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:02:26 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:02:26 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:02:38 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:02:38 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:02:41 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:02:41 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:02:55 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:02:55 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:02:58 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:02:58 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:03:14 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:03:14 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:03:16 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:03:16 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:03:35 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:03:35 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:03:37 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:03:37 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:03:55 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:03:55 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:03:57 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:03:57 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:04:09 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:04:09 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:04:11 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:04:12 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:05:21 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:05:21 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:05:23 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:05:23 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:05:46 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:05:46 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:05:49 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:05:49 | INFO     | src.bot.messages | response sent to user_id=2
